variant,step,train_loss,eval_loss
perft_e_r16,10,2.5131,
perft_e_r16,20,1.3587,
perft_e_r16,30,1.2083,
perft_e_r16,40,1.0588,
perft_e_r16,50,1.0963,
perft_e_r16,60,1.104,
perft_e_r16,70,1.0476,
perft_e_r16,80,1.1475,
perft_e_r16,90,1.1042,
perft_e_r16,100,1.0222,
perft_e_r16,110,1.1091,
perft_e_r16,120,1.0767,
perft_e_r16,130,1.1321,
perft_e_r16,140,1.0762,
perft_e_r16,150,1.1095,
perft_e_r16,160,1.0078,
perft_e_r16,170,1.0906,
perft_e_r16,180,1.1023,
perft_e_r16,190,1.085,
perft_e_r16,200,1.1246,
perft_e_r16,210,1.1116,
perft_e_r16,220,1.0853,
perft_e_r16,230,1.0973,
perft_e_r16,240,1.0827,
perft_e_r16,250,1.0598,
perft_e_r16,260,1.0375,
perft_e_r16,270,1.1076,
perft_e_r16,280,1.1203,
perft_e_r16,290,1.1007,
perft_e_r16,300,1.1486,
perft_e_r16,310,1.1137,
perft_e_r16,320,1.1159,
perft_e_r16,330,1.0725,
perft_e_r16,340,1.1121,
perft_e_r16,350,1.0733,
perft_e_r16,360,1.1375,
perft_e_r16,370,1.0062,
perft_e_r16,380,1.1209,
perft_e_r16,390,1.0822,
perft_e_r16,400,1.1515,
perft_e_r16,410,1.0855,
perft_e_r16,420,1.0921,
perft_e_r16,430,1.1011,
perft_e_r16,440,1.0744,
perft_e_r16,450,1.1058,
perft_e_r16,460,1.1714,
perft_e_r16,470,1.0235,
perft_e_r16,480,1.0701,
perft_e_r16,490,1.0802,
perft_e_r16,500,1.0417,
perft_e_r16,eval,,1.1264680624008179
perft_e_r16,eval,,1.1145392656326294
perft_e_r16,eval,,1.108622431755066
perft_e_r16,eval,,1.09830904006958
perft_e_r16,eval,,1.0886248350143433
perft_e_r32,10,2.6003,
perft_e_r32,20,1.4663,
perft_e_r32,30,1.2245,
perft_e_r32,40,1.0692,
perft_e_r32,50,1.0968,
perft_e_r32,60,1.1036,
perft_e_r32,70,1.0435,
perft_e_r32,80,1.1385,
perft_e_r32,90,1.0982,
perft_e_r32,100,1.0107,
perft_e_r32,110,1.0973,
perft_e_r32,120,1.0794,
perft_e_r32,130,1.126,
perft_e_r32,140,1.066,
perft_e_r32,150,1.0923,
perft_e_r32,160,0.9954,
perft_e_r32,170,1.0736,
perft_e_r32,180,1.0827,
perft_e_r32,190,1.0626,
perft_e_r32,200,1.0968,
perft_e_r32,210,1.0874,
perft_e_r32,220,1.0641,
perft_e_r32,230,1.074,
perft_e_r32,240,1.0557,
perft_e_r32,250,1.04,
perft_e_r32,260,1.0175,
perft_e_r32,270,1.081,
perft_e_r32,280,1.0912,
perft_e_r32,290,1.0804,
perft_e_r32,300,1.1213,
perft_e_r32,310,1.0914,
perft_e_r32,320,1.0945,
perft_e_r32,330,1.051,
perft_e_r32,340,1.08,
perft_e_r32,350,1.0527,
perft_e_r32,360,1.1118,
perft_e_r32,370,0.9879,
perft_e_r32,380,1.0969,
perft_e_r32,390,1.0619,
perft_e_r32,400,1.1226,
perft_e_r32,410,1.0623,
perft_e_r32,420,1.072,
perft_e_r32,430,1.0762,
perft_e_r32,440,1.048,
perft_e_r32,450,1.0841,
perft_e_r32,460,1.1503,
perft_e_r32,470,0.9982,
perft_e_r32,480,1.0518,
perft_e_r32,490,1.0591,
perft_e_r32,500,1.0186,
perft_e_r32,eval,,1.11872136592865
perft_e_r32,eval,,1.098989725112915
perft_e_r32,eval,,1.0878711938858032
perft_e_r32,eval,,1.0792111158370972
perft_e_r32,eval,,1.0718573331832886
perft_e_r8,10,2.4025,
perft_e_r8,20,1.2532,
perft_e_r8,30,1.1897,
perft_e_r8,40,1.0553,
perft_e_r8,50,1.0989,
perft_e_r8,60,1.1059,
perft_e_r8,70,1.0575,
perft_e_r8,80,1.1585,
perft_e_r8,90,1.1215,
perft_e_r8,100,1.0412,
perft_e_r8,110,1.1392,
perft_e_r8,120,1.1198,
perft_e_r8,130,1.1776,
perft_e_r8,140,1.1301,
perft_e_r8,150,1.1664,
perft_e_r8,160,1.0597,
perft_e_r8,170,1.1567,
perft_e_r8,180,1.1525,
perft_e_r8,190,1.1601,
perft_e_r8,200,1.2097,
perft_e_r8,210,1.1856,
perft_e_r8,220,1.174,
perft_e_r8,230,1.1767,
perft_e_r8,240,1.162,
perft_e_r8,250,1.1287,
perft_e_r8,260,1.1079,
perft_e_r8,270,1.1906,
perft_e_r8,280,1.2007,
perft_e_r8,290,1.1737,
perft_e_r8,300,1.2181,
perft_e_r8,310,1.191,
perft_e_r8,320,1.1822,
perft_e_r8,330,1.1344,
perft_e_r8,340,1.1837,
perft_e_r8,350,1.1363,
perft_e_r8,360,1.2043,
perft_e_r8,370,1.0623,
perft_e_r8,380,1.1887,
perft_e_r8,390,1.1368,
perft_e_r8,400,1.2177,
perft_e_r8,410,1.1603,
perft_e_r8,420,1.1461,
perft_e_r8,430,1.1723,
perft_e_r8,440,1.1354,
perft_e_r8,450,1.1679,
perft_e_r8,460,1.2275,
perft_e_r8,470,1.0859,
perft_e_r8,480,1.1116,
perft_e_r8,490,1.1385,
perft_e_r8,500,1.09,
perft_e_r8,eval,,1.1494661569595337
perft_e_r8,eval,,1.1766321659088135
perft_e_r8,eval,,1.1681760549545288
perft_e_r8,eval,,1.1521440744400024
perft_e_r8,eval,,1.1359483003616333
perft_e,10,2.5113,
perft_e,20,1.3626,
perft_e,30,1.2082,
perft_e,40,1.0549,
perft_e,50,1.0968,
perft_e,60,1.1001,
perft_e,70,1.0485,
perft_e,80,1.146,
perft_e,90,1.1027,
perft_e,100,1.02,
perft_e,110,1.1062,
perft_e,120,1.0739,
perft_e,130,1.1341,
perft_e,140,1.0808,
perft_e,150,1.112,
perft_e,160,1.0092,
perft_e,170,1.0911,
perft_e,180,1.0964,
perft_e,190,1.0872,
perft_e,200,1.1234,
perft_e,210,1.1111,
perft_e,220,1.0874,
perft_e,230,1.0943,
perft_e,240,1.0798,
perft_e,250,1.0614,
perft_e,260,1.0374,
perft_e,270,1.1094,
perft_e,280,1.1169,
perft_e,290,1.1021,
perft_e,300,1.146,
perft_e,310,1.1146,
perft_e,320,1.1173,
perft_e,330,1.0719,
perft_e,340,1.1093,
perft_e,350,1.0749,
perft_e,360,1.1391,
perft_e,370,1.0081,
perft_e,380,1.1175,
perft_e,390,1.0814,
perft_e,400,1.1497,
perft_e,410,1.0886,
perft_e,420,1.0937,
perft_e,430,1.1051,
perft_e,440,1.0737,
perft_e,450,1.1051,
perft_e,460,1.1707,
perft_e,470,1.0237,
perft_e,480,1.0686,
perft_e,490,1.0775,
perft_e,500,1.0384,
perft_e,eval,,1.1241451501846313
perft_e,eval,,1.1126374006271362
perft_e,eval,,1.1055569648742676
perft_e,eval,,1.0960090160369873
perft_e,eval,,1.0875532627105713
perft_r_top1of4_r16,10,2.7861,
perft_r_top1of4_r16,20,2.2199,
perft_r_top1of4_r16,30,1.5709,
perft_r_top1of4_r16,40,1.1945,
perft_r_top1of4_r16,50,1.1839,
perft_r_top1of4_r16,60,1.1729,
perft_r_top1of4_r16,70,1.092,
perft_r_top1of4_r16,80,1.1781,
perft_r_top1of4_r16,90,1.1224,
perft_r_top1of4_r16,100,1.0327,
perft_r_top1of4_r16,110,1.1195,
perft_r_top1of4_r16,120,1.086,
perft_r_top1of4_r16,130,1.1486,
perft_r_top1of4_r16,140,1.0922,
perft_r_top1of4_r16,150,1.1068,
perft_r_top1of4_r16,160,1.0158,
perft_r_top1of4_r16,170,1.0874,
perft_r_top1of4_r16,180,1.0997,
perft_r_top1of4_r16,190,1.0773,
perft_r_top1of4_r16,200,1.1178,
perft_r_top1of4_r16,210,1.099,
perft_r_top1of4_r16,220,1.0795,
perft_r_top1of4_r16,230,1.0901,
perft_r_top1of4_r16,240,1.0707,
perft_r_top1of4_r16,250,1.0579,
perft_r_top1of4_r16,260,1.0332,
perft_r_top1of4_r16,270,1.1015,
perft_r_top1of4_r16,280,1.1124,
perft_r_top1of4_r16,290,1.0965,
perft_r_top1of4_r16,300,1.1431,
perft_r_top1of4_r16,310,1.1121,
perft_r_top1of4_r16,320,1.1126,
perft_r_top1of4_r16,330,1.0681,
perft_r_top1of4_r16,340,1.0942,
perft_r_top1of4_r16,350,1.072,
perft_r_top1of4_r16,360,1.1317,
perft_r_top1of4_r16,370,1.0017,
perft_r_top1of4_r16,380,1.1116,
perft_r_top1of4_r16,390,1.0844,
perft_r_top1of4_r16,400,1.1393,
perft_r_top1of4_r16,410,1.076,
perft_r_top1of4_r16,420,1.0901,
perft_r_top1of4_r16,430,1.0964,
perft_r_top1of4_r16,440,1.0652,
perft_r_top1of4_r16,450,1.103,
perft_r_top1of4_r16,460,1.169,
perft_r_top1of4_r16,470,1.0178,
perft_r_top1of4_r16,480,1.0732,
perft_r_top1of4_r16,490,1.0799,
perft_r_top1of4_r16,500,1.0437,
perft_r_top1of4_r16,eval,,1.1436322927474976
perft_r_top1of4_r16,eval,,1.115705966949463
perft_r_top1of4_r16,eval,,1.1054493188858032
perft_r_top1of4_r16,eval,,1.0990804433822632
perft_r_top1of4_r16,eval,,1.0943424701690674
perft_r_top1of4_r32,10,2.8174,
perft_r_top1of4_r32,20,2.3328,
perft_r_top1of4_r32,30,1.7221,
perft_r_top1of4_r32,40,1.2461,
perft_r_top1of4_r32,50,1.2059,
perft_r_top1of4_r32,60,1.1874,
perft_r_top1of4_r32,70,1.1051,
perft_r_top1of4_r32,80,1.1874,
perft_r_top1of4_r32,90,1.1304,
perft_r_top1of4_r32,100,1.0399,
perft_r_top1of4_r32,110,1.1229,
perft_r_top1of4_r32,120,1.0912,
perft_r_top1of4_r32,130,1.141,
perft_r_top1of4_r32,140,1.0842,
perft_r_top1of4_r32,150,1.1077,
perft_r_top1of4_r32,160,1.017,
perft_r_top1of4_r32,170,1.0848,
perft_r_top1of4_r32,180,1.0991,
perft_r_top1of4_r32,190,1.0733,
perft_r_top1of4_r32,200,1.1118,
perft_r_top1of4_r32,210,1.097,
perft_r_top1of4_r32,220,1.0763,
perft_r_top1of4_r32,230,1.085,
perft_r_top1of4_r32,240,1.0622,
perft_r_top1of4_r32,250,1.0561,
perft_r_top1of4_r32,260,1.0299,
perft_r_top1of4_r32,270,1.0961,
perft_r_top1of4_r32,280,1.1036,
perft_r_top1of4_r32,290,1.0906,
perft_r_top1of4_r32,300,1.1353,
perft_r_top1of4_r32,310,1.1051,
perft_r_top1of4_r32,320,1.1092,
perft_r_top1of4_r32,330,1.0646,
perft_r_top1of4_r32,340,1.085,
perft_r_top1of4_r32,350,1.0657,
perft_r_top1of4_r32,360,1.1273,
perft_r_top1of4_r32,370,0.9972,
perft_r_top1of4_r32,380,1.1065,
perft_r_top1of4_r32,390,1.0781,
perft_r_top1of4_r32,400,1.1322,
perft_r_top1of4_r32,410,1.0673,
perft_r_top1of4_r32,420,1.0868,
perft_r_top1of4_r32,430,1.0882,
perft_r_top1of4_r32,440,1.0607,
perft_r_top1of4_r32,450,1.0957,
perft_r_top1of4_r32,460,1.1636,
perft_r_top1of4_r32,470,1.0078,
perft_r_top1of4_r32,480,1.0674,
perft_r_top1of4_r32,490,1.0766,
perft_r_top1of4_r32,500,1.0359,
perft_r_top1of4_r32,eval,,1.1498390436172485
perft_r_top1of4_r32,eval,,1.1154206991195679
perft_r_top1of4_r32,eval,,1.1025166511535645
perft_r_top1of4_r32,eval,,1.0947250127792358
perft_r_top1of4_r32,eval,,1.0911173820495605
perft_r_top1of4_r8,10,2.7446,
perft_r_top1of4_r8,20,2.0472,
perft_r_top1of4_r8,30,1.4348,
perft_r_top1of4_r8,40,1.1887,
perft_r_top1of4_r8,50,1.1695,
perft_r_top1of4_r8,60,1.1636,
perft_r_top1of4_r8,70,1.0951,
perft_r_top1of4_r8,80,1.1824,
perft_r_top1of4_r8,90,1.1249,
perft_r_top1of4_r8,100,1.0414,
perft_r_top1of4_r8,110,1.1256,
perft_r_top1of4_r8,120,1.0937,
perft_r_top1of4_r8,130,1.1528,
perft_r_top1of4_r8,140,1.1014,
perft_r_top1of4_r8,150,1.1239,
perft_r_top1of4_r8,160,1.0275,
perft_r_top1of4_r8,170,1.1054,
perft_r_top1of4_r8,180,1.1165,
perft_r_top1of4_r8,190,1.0993,
perft_r_top1of4_r8,200,1.146,
perft_r_top1of4_r8,210,1.1301,
perft_r_top1of4_r8,220,1.1061,
perft_r_top1of4_r8,230,1.1088,
perft_r_top1of4_r8,240,1.0989,
perft_r_top1of4_r8,250,1.0788,
perft_r_top1of4_r8,260,1.0574,
perft_r_top1of4_r8,270,1.1293,
perft_r_top1of4_r8,280,1.1352,
perft_r_top1of4_r8,290,1.119,
perft_r_top1of4_r8,300,1.1708,
perft_r_top1of4_r8,310,1.1358,
perft_r_top1of4_r8,320,1.139,
perft_r_top1of4_r8,330,1.0901,
perft_r_top1of4_r8,340,1.1244,
perft_r_top1of4_r8,350,1.0925,
perft_r_top1of4_r8,360,1.159,
perft_r_top1of4_r8,370,1.0229,
perft_r_top1of4_r8,380,1.1356,
perft_r_top1of4_r8,390,1.0981,
perft_r_top1of4_r8,400,1.1654,
perft_r_top1of4_r8,410,1.1022,
perft_r_top1of4_r8,420,1.1129,
perft_r_top1of4_r8,430,1.1216,
perft_r_top1of4_r8,440,1.0932,
perft_r_top1of4_r8,450,1.1288,
perft_r_top1of4_r8,460,1.19,
perft_r_top1of4_r8,470,1.0399,
perft_r_top1of4_r8,480,1.0876,
perft_r_top1of4_r8,490,1.0991,
perft_r_top1of4_r8,500,1.0646,
perft_r_top1of4_r8,eval,,1.1452105045318604
perft_r_top1of4_r8,eval,,1.1345276832580566
perft_r_top1of4_r8,eval,,1.1278998851776123
perft_r_top1of4_r8,eval,,1.1163935661315918
perft_r_top1of4_r8,eval,,1.1125925779342651
perft_r_top1of4,10,2.7907,
perft_r_top1of4,20,2.2242,
perft_r_top1of4,30,1.58,
perft_r_top1of4,40,1.1869,
perft_r_top1of4,50,1.18,
perft_r_top1of4,60,1.1689,
perft_r_top1of4,70,1.089,
perft_r_top1of4,80,1.1782,
perft_r_top1of4,90,1.1237,
perft_r_top1of4,100,1.0343,
perft_r_top1of4,110,1.1192,
perft_r_top1of4,120,1.0854,
perft_r_top1of4,130,1.1373,
perft_r_top1of4,140,1.0818,
perft_r_top1of4,150,1.1014,
perft_r_top1of4,160,1.0154,
perft_r_top1of4,170,1.0885,
perft_r_top1of4,180,1.0974,
perft_r_top1of4,190,1.0761,
perft_r_top1of4,200,1.1141,
perft_r_top1of4,210,1.1009,
perft_r_top1of4,220,1.0765,
perft_r_top1of4,230,1.0881,
perft_r_top1of4,240,1.0651,
perft_r_top1of4,250,1.0568,
perft_r_top1of4,260,1.0344,
perft_r_top1of4,270,1.1016,
perft_r_top1of4,280,1.1112,
perft_r_top1of4,290,1.0944,
perft_r_top1of4,300,1.1429,
perft_r_top1of4,310,1.1065,
perft_r_top1of4,320,1.1126,
perft_r_top1of4,330,1.0701,
perft_r_top1of4,340,1.0922,
perft_r_top1of4,350,1.0707,
perft_r_top1of4,360,1.1298,
perft_r_top1of4,370,1.0015,
perft_r_top1of4,380,1.1147,
perft_r_top1of4,390,1.0825,
perft_r_top1of4,400,1.1374,
perft_r_top1of4,410,1.076,
perft_r_top1of4,420,1.0925,
perft_r_top1of4,430,1.0936,
perft_r_top1of4,440,1.0652,
perft_r_top1of4,450,1.103,
perft_r_top1of4,460,1.1693,
perft_r_top1of4,470,1.0147,
perft_r_top1of4,480,1.0726,
perft_r_top1of4,490,1.0794,
perft_r_top1of4,500,1.0415,
perft_r_top1of4,eval,,1.142983078956604
perft_r_top1of4,eval,,1.1172016859054565
perft_r_top1of4,eval,,1.1071152687072754
perft_r_top1of4,eval,,1.0997079610824585
perft_r_top1of4,eval,,1.0959769487380981
perft_r_top1of8_r16,10,2.7669,
perft_r_top1of8_r16,20,2.0805,
perft_r_top1of8_r16,30,1.4523,
perft_r_top1of8_r16,40,1.1784,
perft_r_top1of8_r16,50,1.1702,
perft_r_top1of8_r16,60,1.1632,
perft_r_top1of8_r16,70,1.0876,
perft_r_top1of8_r16,80,1.1768,
perft_r_top1of8_r16,90,1.119,
perft_r_top1of8_r16,100,1.0309,
perft_r_top1of8_r16,110,1.1176,
perft_r_top1of8_r16,120,1.0841,
perft_r_top1of8_r16,130,1.1351,
perft_r_top1of8_r16,140,1.0816,
perft_r_top1of8_r16,150,1.1035,
perft_r_top1of8_r16,160,1.0119,
perft_r_top1of8_r16,170,1.0872,
perft_r_top1of8_r16,180,1.1,
perft_r_top1of8_r16,190,1.0745,
perft_r_top1of8_r16,200,1.1146,
perft_r_top1of8_r16,210,1.1015,
perft_r_top1of8_r16,220,1.0788,
perft_r_top1of8_r16,230,1.0894,
perft_r_top1of8_r16,240,1.0678,
perft_r_top1of8_r16,250,1.0598,
perft_r_top1of8_r16,260,1.032,
perft_r_top1of8_r16,270,1.101,
perft_r_top1of8_r16,280,1.1095,
perft_r_top1of8_r16,290,1.0956,
perft_r_top1of8_r16,300,1.1432,
perft_r_top1of8_r16,310,1.1087,
perft_r_top1of8_r16,320,1.1131,
perft_r_top1of8_r16,330,1.0701,
perft_r_top1of8_r16,340,1.0939,
perft_r_top1of8_r16,350,1.072,
perft_r_top1of8_r16,360,1.1306,
perft_r_top1of8_r16,370,1.0022,
perft_r_top1of8_r16,380,1.1124,
perft_r_top1of8_r16,390,1.084,
perft_r_top1of8_r16,400,1.1399,
perft_r_top1of8_r16,410,1.0763,
perft_r_top1of8_r16,420,1.0917,
perft_r_top1of8_r16,430,1.0945,
perft_r_top1of8_r16,440,1.0667,
perft_r_top1of8_r16,450,1.1043,
perft_r_top1of8_r16,460,1.17,
perft_r_top1of8_r16,470,1.0142,
perft_r_top1of8_r16,480,1.0738,
perft_r_top1of8_r16,490,1.08,
perft_r_top1of8_r16,500,1.043,
perft_r_top1of8_r16,eval,,1.140607476234436
perft_r_top1of8_r16,eval,,1.1159149408340454
perft_r_top1of8_r16,eval,,1.1058207750320435
perft_r_top1of8_r16,eval,,1.097623348236084
perft_r_top1of8_r16,eval,,1.0949137210845947
perft_r_top1of8_r32,10,2.8012,
perft_r_top1of8_r32,20,2.2296,
perft_r_top1of8_r32,30,1.582,
perft_r_top1of8_r32,40,1.1971,
perft_r_top1of8_r32,50,1.1897,
perft_r_top1of8_r32,60,1.1796,
perft_r_top1of8_r32,70,1.0962,
perft_r_top1of8_r32,80,1.1823,
perft_r_top1of8_r32,90,1.123,
perft_r_top1of8_r32,100,1.0364,
perft_r_top1of8_r32,110,1.1208,
perft_r_top1of8_r32,120,1.0845,
perft_r_top1of8_r32,130,1.1347,
perft_r_top1of8_r32,140,1.0821,
perft_r_top1of8_r32,150,1.1,
perft_r_top1of8_r32,160,1.0149,
perft_r_top1of8_r32,170,1.0838,
perft_r_top1of8_r32,180,1.0963,
perft_r_top1of8_r32,190,1.0688,
perft_r_top1of8_r32,200,1.1103,
perft_r_top1of8_r32,210,1.0936,
perft_r_top1of8_r32,220,1.0722,
perft_r_top1of8_r32,230,1.0857,
perft_r_top1of8_r32,240,1.0597,
perft_r_top1of8_r32,250,1.054,
perft_r_top1of8_r32,260,1.0303,
perft_r_top1of8_r32,270,1.0936,
perft_r_top1of8_r32,280,1.1031,
perft_r_top1of8_r32,290,1.0882,
perft_r_top1of8_r32,300,1.1332,
perft_r_top1of8_r32,310,1.1033,
perft_r_top1of8_r32,320,1.1078,
perft_r_top1of8_r32,330,1.0625,
perft_r_top1of8_r32,340,1.0844,
perft_r_top1of8_r32,350,1.0662,
perft_r_top1of8_r32,360,1.1265,
perft_r_top1of8_r32,370,0.996,
perft_r_top1of8_r32,380,1.1054,
perft_r_top1of8_r32,390,1.0761,
perft_r_top1of8_r32,400,1.1324,
perft_r_top1of8_r32,410,1.0666,
perft_r_top1of8_r32,420,1.0852,
perft_r_top1of8_r32,430,1.0846,
perft_r_top1of8_r32,440,1.0576,
perft_r_top1of8_r32,450,1.0953,
perft_r_top1of8_r32,460,1.1607,
perft_r_top1of8_r32,470,1.0051,
perft_r_top1of8_r32,480,1.0679,
perft_r_top1of8_r32,490,1.0751,
perft_r_top1of8_r32,500,1.0353,
perft_r_top1of8_r32,eval,,1.1532938480377197
perft_r_top1of8_r32,eval,,1.1150225400924683
perft_r_top1of8_r32,eval,,1.1028568744659424
perft_r_top1of8_r32,eval,,1.094919204711914
perft_r_top1of8_r32,eval,,1.0897806882858276
perft_r_top1of8_r8,10,2.724,
perft_r_top1of8_r8,20,1.9423,
perft_r_top1of8_r8,30,1.3607,
perft_r_top1of8_r8,40,1.1356,
perft_r_top1of8_r8,50,1.1466,
perft_r_top1of8_r8,60,1.1491,
perft_r_top1of8_r8,70,1.0839,
perft_r_top1of8_r8,80,1.1718,
perft_r_top1of8_r8,90,1.1214,
perft_r_top1of8_r8,100,1.0338,
perft_r_top1of8_r8,110,1.1231,
perft_r_top1of8_r8,120,1.0931,
perft_r_top1of8_r8,130,1.1466,
perft_r_top1of8_r8,140,1.0965,
perft_r_top1of8_r8,150,1.1214,
perft_r_top1of8_r8,160,1.0316,
perft_r_top1of8_r8,170,1.1058,
perft_r_top1of8_r8,180,1.1162,
perft_r_top1of8_r8,190,1.1013,
perft_r_top1of8_r8,200,1.1466,
perft_r_top1of8_r8,210,1.128,
perft_r_top1of8_r8,220,1.1098,
perft_r_top1of8_r8,230,1.1149,
perft_r_top1of8_r8,240,1.0951,
perft_r_top1of8_r8,250,1.0827,
perft_r_top1of8_r8,260,1.0607,
perft_r_top1of8_r8,270,1.1306,
perft_r_top1of8_r8,280,1.1408,
perft_r_top1of8_r8,290,1.1234,
perft_r_top1of8_r8,300,1.1714,
perft_r_top1of8_r8,310,1.1319,
perft_r_top1of8_r8,320,1.1414,
perft_r_top1of8_r8,330,1.0918,
perft_r_top1of8_r8,340,1.1304,
perft_r_top1of8_r8,350,1.0969,
perft_r_top1of8_r8,360,1.1601,
perft_r_top1of8_r8,370,1.0272,
perft_r_top1of8_r8,380,1.1427,
perft_r_top1of8_r8,390,1.1014,
perft_r_top1of8_r8,400,1.17,
perft_r_top1of8_r8,410,1.0992,
perft_r_top1of8_r8,420,1.1155,
perft_r_top1of8_r8,430,1.1252,
perft_r_top1of8_r8,440,1.0936,
perft_r_top1of8_r8,450,1.1296,
perft_r_top1of8_r8,460,1.193,
perft_r_top1of8_r8,470,1.0432,
perft_r_top1of8_r8,480,1.0904,
perft_r_top1of8_r8,490,1.1029,
perft_r_top1of8_r8,500,1.0689,
perft_r_top1of8_r8,eval,,1.1461946964263916
perft_r_top1of8_r8,eval,,1.1341807842254639
perft_r_top1of8_r8,eval,,1.125465750694275
perft_r_top1of8_r8,eval,,1.1171070337295532
perft_r_top1of8_r8,eval,,1.1117613315582275
perft_r_top2of4_r16,10,2.7725,
perft_r_top2of4_r16,20,2.0214,
perft_r_top2of4_r16,30,1.4097,
perft_r_top2of4_r16,40,1.1673,
perft_r_top2of4_r16,50,1.1656,
perft_r_top2of4_r16,60,1.1621,
perft_r_top2of4_r16,70,1.0897,
perft_r_top2of4_r16,80,1.1934,
perft_r_top2of4_r16,90,1.1324,
perft_r_top2of4_r16,100,1.0397,
perft_r_top2of4_r16,110,1.1237,
perft_r_top2of4_r16,120,1.0882,
