run,router_arch,strategy,router_params,mean_topk_prob,gate_entropy,ppl,tokens_per_s
arch_linear_expert-choice,linear,expert_choice,2048.0,0.84375,0.36560727655887604,8.520870138123456,54173040.99287182
arch_linear_softk,linear,softk,2048.0,0.810546875,0.42092233151197433,8.533177861332074,56628436.92493523
arch_linear_top1,linear,top1,2048.0,1.0,0.0,9.147412607673438,68724525.78731291
arch_linear_topk-hard,linear,topk_hard,2048.0,1.0,0.0,8.885981793579843,60629548.59144874
arch_mlp_expert-choice,mlp,expert_choice,34048.0,0.86328125,0.3221677392721176,8.53805703847511,53896932.726397336
arch_mlp_hadamard_expert-choice,mlp_hadamard,expert_choice,134144.0,0.857421875,0.3040051758289337,8.553334130670683,52419008.36028514
arch_mlp_hadamard_softk,mlp_hadamard,softk,134144.0,0.8212890625,0.37026696652173996,8.634390772357284,54639806.57844716
arch_mlp_hadamard_top1,mlp_hadamard,top1,134144.0,1.0,0.0,9.099266192758721,65173266.1522516
arch_mlp_hadamard_topk-hard,mlp_hadamard,topk_hard,134144.0,1.0,0.0,8.83123160842787,56210593.26565428
arch_mlp_softk,mlp,softk,34048.0,0.806640625,0.39835644513368607,8.487665575397477,55828578.5111023
arch_mlp_top1,mlp,top1,34048.0,1.0,0.0,8.984805750027137,67622856.81056283
arch_mlp_topk-hard,mlp,topk_hard,34048.0,1.0,0.0,8.805156424385402,58412596.63720315
